标签,疾病名字,top10
22,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 心律失常 脑卒中 冠状动脉狭窄 颈动脉狭窄 前列腺增生 糖尿病 支气管扩张症 肺原位癌 高血压
76,慢性阻塞性肺疾病,慢性阻塞性肺疾病 肺炎 肺恶性肿瘤 支气管哮喘 支气管扩张症 贫血 多发性骨髓瘤 肺间质纤维化 前列腺增生 冠状动脉粥样硬化性心脏病
148,肺炎,肺炎 结节病 肺恶性肿瘤 支气管哮喘 胸腔积液 糖尿病 肺间质纤维化 肺结核 肺脓肿 支气管扩张症
216,进行性系统性硬化症,肺炎 类风湿性关节炎 冠状动脉粥样硬化性心脏病 进行性系统性硬化症 糖尿病 骨关节病 结肠息肉 胃炎 高血压 支气管扩张症
76,慢性阻塞性肺疾病,肺炎 支气管扩张症 心律失常 胆石症 肺结核 支气管炎 慢性阻塞性肺疾病 肾积水 脑卒中 冠状动脉粥样硬化性心脏病
22,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 脑卒中 心律失常 肺恶性肿瘤 短暂性脑缺血发作 肾结石 前列腺增生 胆囊息肉 肝恶性肿瘤 高血压
22,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 前列腺恶性肿瘤 气胸 二尖瓣关闭不全 前列腺增生 冠状动脉狭窄 心律失常 食管恶性肿瘤 胃恶性肿瘤 肺恶性肿瘤
83,支气管炎,肺炎 冠状动脉粥样硬化性心脏病 支气管扩张症 慢性阻塞性肺疾病 肺恶性肿瘤 胃炎 支气管哮喘 糖尿病 短暂性脑缺血发作 高血压
213,输尿管结石,输尿管结石 肾结石 冠状动脉粥样硬化性心脏病 精索静脉曲张 脑卒中 急性胰腺炎 前列腺增生 输尿管狭窄 前列腺炎 附睾炎
22,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 心律失常 高血压 冠状动脉狭窄 脑卒中 甲状腺肿 胆石症 糖尿病 前列腺增生 肺栓塞
188,脑卒中,脑卒中 冠状动脉粥样硬化性心脏病 精索静脉曲张 高血压 糖尿病 心律失常 前列腺恶性肿瘤 鞘膜积液 结肠息肉 肾小球肾炎
188,脑卒中,脑卒中 冠状动脉粥样硬化性心脏病 高血压 支气管哮喘 心律失常 短暂性脑缺血发作 糖尿病 癫痫 肾小球肾炎 膀胱结石
59,心律失常,冠状动脉粥样硬化性心脏病 心律失常 高血压 脑卒中 冠状动脉狭窄 结肠息肉 肝恶性肿瘤 冠状动脉瘘 心力衰竭 胃炎
130,结肠息肉,结肠息肉 慢性腹泻 肺炎 腹部恶性肿瘤 冠状动脉粥样硬化性心脏病 胃恶性肿瘤 胃息肉 肾结石 IgA肾病 肾结核
114,睡眠呼吸暂停低通气综合征,睡眠呼吸暂停低通气综合征 精索静脉曲张 鼾症 腹部开放性损伤 肾动脉狭窄 肾小球肾炎 肾损伤 肾梗死 肾病综合征 肾盂肾炎
120,糖尿病,糖尿病 冠状动脉粥样硬化性心脏病 脑卒中 心律失常 肺炎 胸腔积液 高血压 肺恶性肿瘤 气胸 胆石症
74,慢性肾功能不全,慢性肾功能不全 肾小球肾炎 肾病综合征 冠状动脉粥样硬化性心脏病 脑卒中 糖尿病 高血压 肺动脉高压 肺栓塞 支气管哮喘
118,类风湿性关节炎,类风湿性关节炎 肺炎 冠状动脉粥样硬化性心脏病 脑卒中 心律失常 肺恶性肿瘤 强直性脊柱炎 肺栓塞 糖尿病 支气管炎
