标签,疾病名字,top10
22,冠状动脉粥样硬化性心脏病,高脂血症 冠状动脉粥样硬化性心脏病 颈动脉硬化 冠状动脉狭窄 心脏神经症 心律失常 胃食管反流 支气管哮喘 脑动脉粥样硬化 肥厚性心肌病
76,慢性阻塞性肺疾病,慢性阻塞性肺疾病 支气管炎 支气管哮喘 肺间质纤维化 肺恶性肿瘤 支气管扩张症 肺炎 肺曲霉菌病 胸腔积液 肺结核
148,肺炎,肺恶性肿瘤 过敏性肺炎 肺炎 支气管炎 胸腔积液 肺泡蛋白沉着症 肺肉芽肿 肺间质纤维化 支气管哮喘 胃食管反流
216,进行性系统性硬化症,进行性系统性硬化症 类风湿性关节炎 胃炎 脂肪肝 骨关节病 胃食管反流 慢性腹泻 结肠息肉 直肠息肉 高脂血症
76,慢性阻塞性肺疾病,肺炎 肺脓肿 支气管炎 肺结核 胸腔积液 心内膜炎 肺栓塞 多发性骨髓瘤 支气管扩张症 肺间质纤维化
22,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 心律失常 食管恶性肿瘤 贫血 腹部恶性肿瘤 脾脏损伤 脑卒中 病毒性脑膜炎 帕金森病 颈动脉硬化
22,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 冠状动脉狭窄 胃恶性肿瘤 主动脉夹层 前列腺恶性肿瘤 心脏神经症 气胸 腹内疝 肺恶性肿瘤 膀胱结石
83,支气管炎,支气管炎 胃炎 胃食管反流 脑动脉粥样硬化 结节病 慢性阻塞性肺疾病 高脂血症 肺曲霉菌病 食管良性肿瘤 肺间质纤维化
213,输尿管结石,输尿管结石 肾结石 膀胱结石 输尿管狭窄 肾积水 食管良性肿瘤 胆囊息肉 胆石症 结节病 前列腺恶性肿瘤
22,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 冠状动脉狭窄 心脏神经症 高脂血症 血管迷走性晕厥 冠状动脉瘘 胃食管反流 支气管哮喘 颈动脉硬化 液气胸
188,脑卒中,脑卒中 短暂性脑缺血发作 冠状动脉粥样硬化性心脏病 胃炎 肾小球肾炎 原发性血小板增多症 室间隔缺损 胰腺恶性肿瘤 结肠息肉 肾动脉狭窄
188,脑卒中,脑卒中 肥厚性心肌病 心律失常 肾动脉狭窄 颈动脉硬化 颈动脉狭窄 短暂性脑缺血发作 扩张型心肌病 IgA肾病 高血压
59,心律失常,心律失常 冠状动脉狭窄 肥厚性心肌病 血管迷走性晕厥 颈动脉硬化 高血压 冠状动脉粥样硬化性心脏病 低钾血症 心力衰竭 脑动脉炎
130,结肠息肉,结肠息肉 直肠息肉 食管恶性肿瘤 肝恶性肿瘤 精索静脉曲张 腹部恶性肿瘤 前列腺恶性肿瘤 小脑扁桃体下疝畸形 急性腹膜炎 白血病
114,睡眠呼吸暂停低通气综合征,睡眠呼吸暂停低通气综合征 鼾症 腹部开放性损伤 精索静脉曲张 尿道损伤 前列腺恶性肿瘤 气胸 液气胸 膀胱结石 淋巴结炎
120,糖尿病,糖尿病 甲状腺功能减退 高脂血症 主动脉夹层 静脉血栓症 冠状动脉狭窄 支气管炎 胸腔积液 短暂性脑缺血发作 上消化道出血
74,慢性肾功能不全,慢性肾功能不全 肾小球肾炎 静脉血栓症 肾动脉狭窄 肾病综合征 高血压 胃食管反流 肺动脉高压 胃炎 IgA肾病
118,类风湿性关节炎,类风湿性关节炎 进行性系统性硬化症 炎性肌病 颈动脉硬化 支气管炎 静脉血栓症 肺间质纤维化 痛风 肺炎 胸腔积液
56,心力衰竭,心力衰竭 呼吸衰竭 扩张型心肌病 支气管哮喘 肺结核 胸腔积液 慢性阻塞性肺疾病 肺曲霉菌病 心肌炎 病毒性肺炎
104,甲状腺肿,甲状腺肿 甲状腺炎 颈部血管瘤 阿尔茨海默病 乳腺恶性肿瘤 腹部良性肿瘤 非霍奇金淋巴瘤 静脉血栓症 原发性血小板增多症 肾积水
148,肺炎,肺炎 白血病 病毒性脑膜炎 病毒性肺炎 支气管炎 胆道感染 心肌损害 心内膜炎 呼吸衰竭 急性腹膜炎
76,慢性阻塞性肺疾病,慢性阻塞性肺疾病 支气管哮喘 支气管炎 支气管扩张症 肺曲霉菌病 细支气管炎 胸腔积液 肺恶性肿瘤 肺间质纤维化 液气胸
72,急性胰腺炎,急性腹膜炎 急性胰腺炎 胆石症 胃炎 高脂血症 消化性溃疡 肠梗阻 胃恶性肿瘤 胰腺恶性肿瘤 冠状动脉粥样硬化性心脏病
23,前列腺增生,前列腺增生 尿道结石 膀胱炎 前列腺恶性肿瘤 膀胱结石 尿潴留 非霍奇金淋巴瘤 骨髓增生异常综合征 肾盂肾炎 慢性肾功能不全
23,前列腺增生,前列腺增生 前列腺炎 肺良性肿瘤 肺肉芽肿 食管良性肿瘤 颅内动脉瘤 前列腺恶性肿瘤 肺曲霉菌病 鞘膜积液 肺结核
142,肺恶性肿瘤,肺恶性肿瘤 支气管炎 结节病 胸腔积液 支气管哮喘 肺间质纤维化 过敏性肺炎 细支气管炎 肺肉芽肿 肺结核
188,脑卒中,肺良性肿瘤 脑卒中 小肠恶性肿瘤 前列腺恶性肿瘤 输尿管结石 颅内动脉瘤 腹部恶性肿瘤 膀胱结石 食管恶性肿瘤 胸腔积液
