标签,疾病名字,top1,top3,top5,top8,top10,该类别实际样本数,该类别训练采样数
0.0,IgA肾病,0.66(2/3),0.66(2/3),1.0(3/3),1.0(3/3),1.0(3/3)
2.0,上消化道出血,0.0(0/5),0.0(0/5),0.0(0/5),0.0(0/5),0.0(0/5)
3.0,下消化道出血,0.0(0/4),0.25(1/4),0.25(1/4),0.25(1/4),0.25(1/4)
4.0,下肢静脉曲张,0.86(25/29),0.86(25/29),0.86(25/29),0.86(25/29),0.86(25/29)
5.0,主动脉夹层,0.0(0/5),0.0(0/5),0.0(0/5),0.0(0/5),0.0(0/5)
6.0,主动脉瓣关闭不全,0.0(0/2),0.5(1/2),0.5(1/2),0.5(1/2),0.5(1/2)
7.0,主动脉瓣狭窄,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
9.0,乳腺恶性肿瘤,0.1(1/10),0.2(2/10),0.3(3/10),0.3(3/10),0.3(3/10)
10.0,乳腺良性肿瘤,0.48(19/39),0.71(28/39),0.82(32/39),0.82(32/39),0.82(32/39)
11.0,二尖瓣关闭不全,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
13.0,二尖瓣脱垂,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
15.0,低血压,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
18.0,低钠血症,0.0(0/3),0.0(0/3),0.0(0/3),0.0(0/3),0.0(0/3)
22.0,冠状动脉狭窄,0.0(0/10),0.5(5/10),0.6(6/10),0.6(6/10),0.6(6/10)
23.0,冠状动脉瘘,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
24.0,冠状动脉粥样硬化性心脏病,0.76(394/518),0.84(437/518),0.89(462/518),0.89(464/518),0.89(464/518)
25.0,前列腺增生,0.40(9/22),0.5(11/22),0.5(11/22),0.63(14/22),0.63(14/22)
26.0,前列腺恶性肿瘤,0.11(2/18),0.33(6/18),0.44(8/18),0.5(9/18),0.5(9/18)
28.0,动脉导管未闭,0.0(0/2),0.5(1/2),0.5(1/2),0.5(1/2),0.5(1/2)
30.0,卵巢良性肿瘤,0.25(9/36),0.52(19/36),0.58(21/36),0.58(21/36),0.58(21/36)
34.0,变应性肉芽肿性脉管炎,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
38.0,呼吸衰竭,0.08(2/23),0.13(3/23),0.13(3/23),0.26(6/23),0.26(6/23)
39.0,喉恶性肿瘤,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
40.0,嗜酸粒细胞增多综合征,0.0(0/3),0.33(1/3),0.33(1/3),0.33(1/3),0.33(1/3)
41.0,多发性末梢神经炎,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
42.0,多发性硬化,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
43.0,多发性骨髓瘤,0.4(2/5),0.4(2/5),0.8(4/5),0.8(4/5),0.8(4/5)
44.0,大隐静脉曲张,0.83(46/55),0.96(53/55),0.98(54/55),0.98(54/55),0.98(54/55)
45.0,妊娠期糖尿病,0.97(85/87),0.98(86/87),1.0(87/87),1.0(87/87),1.0(87/87)
46.0,子宫内膜息肉,0.75(55/73),0.86(63/73),0.91(67/73),0.91(67/73),0.91(67/73)
47.0,子宫平滑肌瘤,0.34(19/55),0.70(39/55),0.83(46/55),0.83(46/55),0.83(46/55)
48.0,子宫颈上皮内瘤变,0.0(0/14),0.57(8/14),0.71(10/14),0.78(11/14),0.78(11/14)
52.0,小肠良性肿瘤,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
