标签,疾病名字,top10
269,颈椎病,颈椎病 子宫平滑肌瘤 精索静脉曲张 IgA肾病 胃肠功能紊乱 胃炎 胃潴留 胃淋巴瘤 胃恶性肿瘤 肾结石
5,主动脉夹层,冠状动脉粥样硬化性心脏病 肾恶性肿瘤 室间隔缺损 腹部恶性肿瘤 肾积水 肾结核 肾结石 胃息肉 胃肠炎 胃恶性肿瘤
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 慢性肾功能不全 心律失常 主动脉夹层 胃肠功能紊乱 胃炎 胃潴留 胃淋巴瘤 胃恶性肿瘤 胃息肉
211,脑卒中,肺恶性肿瘤 肺炎 前列腺增生 前列腺恶性肿瘤 陈旧性膝前十字韧带断裂 胆囊息肉 股骨颈骨折 IgA肾病 胃炎 胃潴留
244,输卵管积水,输卵管积水 子宫内膜息肉 IgA肾病 胃肠功能紊乱 胃炎 胃潴留 胃淋巴瘤 胃恶性肿瘤 胃息肉 肾结石
269,颈椎病,颈椎病 腰椎管狭窄 IgA肾病 胃肠功能紊乱 胃炎 胃潴留 胃淋巴瘤 胃恶性肿瘤 胃息肉 肾结核
10,乳腺良性肿瘤,乳腺良性肿瘤 IgA肾病 胃肠功能紊乱 胃炎 胃潴留 胃淋巴瘤 胃恶性肿瘤 胃肠炎 胃息肉 肾结核
211,脑卒中,脑卒中 结肠良性肿瘤 冠状动脉粥样硬化性心脏病 脑动脉供血不足 IgA肾病 胃炎 胃潴留 胃淋巴瘤 胃恶性肿瘤 胃息肉
150,肛瘘,肛瘘 视网膜脱离 混合痔 肾病综合征 肾盂肾炎 肾损伤 肾积水 肾结核 胃肠功能紊乱 肾结石
125,白内障,白内障 胃肠炎 胃肠功能紊乱 胃炎 胃潴留 胃淋巴瘤 胃恶性肿瘤 胃食管反流 IgA肾病 肾结核
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 肺恶性肿瘤 颈椎病 膀胱恶性肿瘤 肾恶性肿瘤 腰椎间盘突出 脑动脉炎 肾梗死 肾病综合征 肾盂肾炎
108,炎性肌病,子宫颈上皮内瘤变 颈椎病 前列腺增生 膝关节前十字韧带完全断裂 肾结石 膝关节病 肾积水 胃息肉 胃恶性肿瘤 肾盂肾炎
91,支气管炎,肺炎 细支气管炎 支气管炎 胃肠功能紊乱 胃炎 胃潴留 胃淋巴瘤 胃肠炎 胃恶性肿瘤 肾结石
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 肺恶性肿瘤 肾积水 肾结石 视网膜脱离 腹部良性肿瘤 胃肠功能紊乱 胃炎 胃潴留 胃淋巴瘤
90,支气管扩张症,胆石症 肺恶性肿瘤 支气管哮喘 支气管扩张症 慢性肾功能不全 阑尾炎 胆囊息肉 肾结核 肾结石 胃息肉
247,过敏性紫癜,子宫内膜息肉 胆囊息肉 输卵管积水 跟腱断裂 肩袖损伤 陈旧性膝前十字韧带断裂 膝关节前十字韧带完全断裂 胃潴留 胃淋巴瘤 胃恶性肿瘤
231,膝关节前十字韧带完全断裂,膝关节前十字韧带完全断裂 陈旧性膝前十字韧带断裂 男性不育症 肩袖损伤 IgA肾病 胃肠功能紊乱 胃炎 胃潴留 胃淋巴瘤 胃恶性肿瘤
258,陈旧性膝前十字韧带断裂,陈旧性膝前十字韧带断裂 精索静脉曲张 膝关节前十字韧带完全断裂 膝关节半月板损伤 肾病综合征 肾盂肾炎 肾积水 肾损伤 肾结核 胃肠炎
67,心律失常,混合痔 颈椎病 膀胱结石 心律失常 子宫内膜息肉 乳腺良性肿瘤 IgA肾病 胃肠功能紊乱 胃炎 胃潴留
243,跟腱断裂,跟腱断裂 IgA肾病 胃炎 胃潴留 胃淋巴瘤 胃恶性肿瘤 胃息肉 肾结石 肾结核 肾积水
241,视网膜脱离,视网膜脱离 胃炎 胃潴留 胃淋巴瘤 胃恶性肿瘤 胃息肉 肾结石 胃肠功能紊乱 IgA肾病 肾积水
269,颈椎病,颈椎病 甲状腺恶性肿瘤 跟腱断裂 腰椎间盘突出 玻璃体积血 肾结石 胃潴留 胃淋巴瘤 胃恶性肿瘤 胃息肉
198,胆石症,胆石症 膝关节前十字韧带完全断裂 肾结石 大隐静脉曲张 IgA肾病 胃肠炎 胃肠功能紊乱 胃炎 胃潴留 胃淋巴瘤
284,鼻窦炎,鼻窦炎 乳腺良性肿瘤 子宫平滑肌瘤 子宫颈上皮内瘤变 子宫内膜息肉 胃肠功能紊乱 胃炎 胃潴留 胃淋巴瘤 胃恶性肿瘤
269,颈椎病,颈椎病 混合痔 高血压 肛瘘 乳腺恶性肿瘤 胆囊息肉 IgA肾病 胃炎 胃潴留 胃淋巴瘤
125,白内障,白内障 胃肠炎 胃肠功能紊乱 胃炎 胃潴留 胃淋巴瘤 胃恶性肿瘤 胃食管反流 IgA肾病 肾结核
150,肛瘘,肛瘘 股骨颈骨折 陈旧性膝前十字韧带断裂 男性不育症 胃炎 胃潴留 胃淋巴瘤 胃恶性肿瘤 胃息肉 IgA肾病
25,前列腺增生,颈动脉狭窄 输尿管结石 颈椎病 子宫内膜息肉 肩袖损伤 前列腺恶性肿瘤 乳腺良性肿瘤 胃炎 胃潴留 胃淋巴瘤
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 冠状动脉狭窄 腹部良性肿瘤 IgA肾病 胃炎 胃潴留 胃淋巴瘤 胃恶性肿瘤 胃息肉 肾结石
