标签,疾病名字,top3,top5,top8,top10,该类别实际样本数,该类别训练采样数
0.0,IgA肾病,1.0(3/3),1.0(3/3),1.0(3/3)
2.0,上消化道出血,0.0(0/5),0.0(0/5),0.8(4/5)
3.0,下消化道出血,0.5(2/4),0.75(3/4),0.75(3/4)
4.0,下肢静脉曲张,0.86(25/29),0.89(26/29),0.93(27/29)
5.0,主动脉夹层,0.0(0/5),0.0(0/5),0.0(0/5)
6.0,主动脉瓣关闭不全,0.0(0/2),0.0(0/2),0.0(0/2)
7.0,主动脉瓣狭窄,0.0(0/1),0.0(0/1),0.0(0/1)
9.0,乳腺恶性肿瘤,0.5(5/10),0.7(7/10),0.8(8/10)
10.0,乳腺良性肿瘤,0.87(34/39),0.92(36/39),0.92(36/39)
11.0,二尖瓣关闭不全,0.0(0/2),0.0(0/2),0.0(0/2)
13.0,二尖瓣脱垂,0.0(0/2),0.0(0/2),0.0(0/2)
15.0,低血压,0.0(0/2),0.0(0/2),0.0(0/2)
18.0,低钠血症,0.0(0/3),0.33(1/3),0.33(1/3)
22.0,冠状动脉狭窄,0.3(3/10),0.8(8/10),0.9(9/10)
23.0,冠状动脉瘘,0.0(0/1),0.0(0/1),0.0(0/1)
24.0,冠状动脉粥样硬化性心脏病,0.99(516/518),0.99(516/518),0.99(517/518)
25.0,前列腺增生,0.81(18/22),0.90(20/22),0.90(20/22)
26.0,前列腺恶性肿瘤,0.55(10/18),0.61(11/18),0.83(15/18)
28.0,动脉导管未闭,0.5(1/2),0.5(1/2),0.5(1/2)
30.0,卵巢良性肿瘤,0.69(25/36),0.91(33/36),1.0(36/36)
34.0,变应性肉芽肿性脉管炎,0.0(0/2),0.0(0/2),0.0(0/2)
38.0,呼吸衰竭,0.65(15/23),0.73(17/23),0.95(22/23)
39.0,喉恶性肿瘤,1.0(2/2),1.0(2/2),1.0(2/2)
40.0,嗜酸粒细胞增多综合征,0.0(0/3),0.0(0/3),0.0(0/3)
41.0,多发性末梢神经炎,0.0(0/2),0.0(0/2),0.0(0/2)
42.0,多发性硬化,0.5(1/2),0.5(1/2),0.5(1/2)
43.0,多发性骨髓瘤,0.8(4/5),0.8(4/5),0.8(4/5)
44.0,大隐静脉曲张,0.98(54/55),0.98(54/55),0.98(54/55)
45.0,妊娠期糖尿病,1.0(87/87),1.0(87/87),1.0(87/87)
46.0,子宫内膜息肉,0.89(65/73),0.94(69/73),0.97(71/73)
47.0,子宫平滑肌瘤,0.81(45/55),0.90(50/55),0.90(50/55)
48.0,子宫颈上皮内瘤变,0.5(7/14),0.64(9/14),0.78(11/14)
52.0,小肠良性肿瘤,0.0(0/1),0.0(0/1),0.0(0/1)
53.0,小脑扁桃体下疝畸形,0.33(1/3),0.33(1/3),0.33(1/3)
54.0,尿潴留,0.0(0/2),0.0(0/2),0.0(0/2)
56.0,尿道结石,0.0(0/1),1.0(1/1),1.0(1/1)
58.0,帕金森病,1.0(1/1),1.0(1/1),1.0(1/1)
59.0,库欣综合征,0.0(0/1),0.0(0/1),0.0(0/1)
60.0,弥漫性肺泡出血综合征,0.0(0/1),0.0(0/1),0.0(0/1)
62.0,强直性脊柱炎,0.66(4/6),0.83(5/6),0.83(5/6)
63.0,心内膜炎,0.0(0/1),0.0(0/1),0.0(0/1)
64.0,心力衰竭,0.70(26/37),0.86(32/37),0.91(34/37)
65.0,心包炎,0.0(0/1),0.0(0/1),0.0(0/1)
67.0,心律失常,0.89(122/137),0.92(127/137),0.94(129/137)
69.0,心源性晕厥,0.0(0/1),0.0(0/1),0.0(0/1)
70.0,心源性猝死,0.0(0/1),0.0(0/1),0.0(0/1)
71.0,心肌损害,0.0(0/1),0.0(0/1),0.0(0/1)
72.0,心肌炎,0.0(0/1),0.0(0/1),0.0(0/1)
74.0,心脏神经症,0.0(0/2),0.0(0/2),0.0(0/2)
75.0,急性呼吸窘迫综合征,0.0(0/1),0.0(0/1),0.0(0/1)
76.0,急性播散性脑脊髓炎,0.0(0/1),0.0(0/1),0.0(0/1)
79.0,急性肾衰竭,0.0(0/1),0.0(0/1),0.0(0/1)
80.0,急性胰腺炎,0.93(27/29),0.93(27/29),1.0(29/29)
81.0,急性腹膜炎,0.0(0/1),0.0(0/1),0.0(0/1)
82.0,慢性肾功能不全,0.95(46/48),0.95(46/48),0.95(46/48)
83.0,慢性腹泻,0.0(0/1),0.0(0/1),1.0(1/1)
84.0,慢性阻塞性肺疾病,0.85(63/74),0.91(68/74),0.95(71/74)
85.0,房间隔缺损,1.0(2/2),1.0(2/2),1.0(2/2)
86.0,扩张型心肌病,0.0(0/1),0.0(0/1),0.0(0/1)
87.0,抗磷脂综合征,0.0(0/3),0.0(0/3),0.0(0/3)
88.0,支气管哮喘,0.53(15/28),0.67(19/28),0.78(22/28)
89.0,支气管恶性肿瘤,0.0(0/1),0.0(0/1),0.0(0/1)
90.0,支气管扩张症,0.73(33/45),0.84(38/45),0.86(39/45)
91.0,支气管炎,0.23(4/17),0.41(7/17),0.41(7/17)
95.0,新生儿高胆红素血症,1.0(32/32),1.0(32/32),1.0(32/32)
96.0,新生儿黄疸,1.0(17/17),1.0(17/17),1.0(17/17)
98.0,椎-基底动脉供血不全,0.94(33/35),0.97(34/35),0.97(34/35)
99.0,横纹肌溶解,0.0(0/1),1.0(1/1),1.0(1/1)
102.0,气胸,0.88(23/26),0.92(24/26),0.92(24/26)
103.0,消化性溃疡,0.47(9/19),0.52(10/19),0.52(10/19)
106.0,混合痔,0.97(69/71),0.98(70/71),0.98(70/71)
107.0,溃疡性结肠炎,0.25(1/4),0.25(1/4),0.75(3/4)
108.0,炎性肌病,0.0(0/8),0.0(0/8),0.0(0/8)
111.0,特发性血小板减少性紫癜,1.0(1/1),1.0(1/1),1.0(1/1)
112.0,特发性间质性肺炎,0.0(0/1),0.0(0/1),0.0(0/1)
113.0,玻璃体积血,0.83(15/18),0.88(16/18),0.94(17/18)
114.0,甲状腺功能亢进症,0.33(2/6),0.33(2/6),0.5(3/6)
115.0,甲状腺功能减退,0.0(0/3),0.0(0/3),0.0(0/3)
116.0,甲状腺恶性肿瘤,0.86(32/37),0.91(34/37),0.94(35/37)
117.0,甲状腺炎,0.0(0/4),0.25(1/4),0.25(1/4)
118.0,甲状腺肿,0.96(28/29),0.96(28/29),1.0(29/29)
119.0,男性不育症,0.95(21/22),0.95(21/22),0.95(21/22)
121.0,病毒性脑膜炎,0.5(2/4),0.75(3/4),0.75(3/4)
122.0,痛风,0.75(3/4),0.75(3/4),0.75(3/4)
124.0,癫癎,0.33(1/3),0.33(1/3),0.66(2/3)
125.0,白内障,0.99(241/243),0.99(242/243),1.0(243/243)
126.0,白血病,0.66(4/6),0.66(4/6),0.66(4/6)
127.0,皮层下动脉硬化性脑病,0.0(0/1),0.0(0/1),0.0(0/1)
128.0,直肠息肉,0.57(4/7),0.57(4/7),0.57(4/7)
129.0,直肠脱垂,1.0(1/1),1.0(1/1),1.0(1/1)
130.0,睡眠呼吸暂停低通气综合征,0.96(94/97),0.96(94/97),0.97(95/97)
131.0,睾丸扭转,1.0(2/2),1.0(2/2),1.0(2/2)
132.0,短暂性脑缺血发作,0.34(10/29),0.58(17/29),0.62(18/29)
133.0,神经痛,0.0(0/1),0.0(0/1),0.0(0/1)
134.0,类风湿性关节炎,0.76(13/17),0.82(14/17),0.94(16/17)
135.0,精索静脉曲张,0.80(25/31),0.90(28/31),0.93(29/31)
136.0,糖尿病,0.98(153/155),0.98(153/155),1.0(155/155)
138.0,糖耐量异常,0.0(0/2),0.0(0/2),0.0(0/2)
139.0,系统性血管炎,0.0(0/1),0.0(0/1),0.0(0/1)
140.0,紧张型头痛,0.0(0/2),0.0(0/2),0.5(1/2)
141.0,纵隔淋巴结结核,0.0(0/1),0.0(0/1),0.0(0/1)
143.0,细支气管炎,1.0(6/6),1.0(6/6),1.0(6/6)
146.0,结肠息肉,0.88(32/36),0.88(32/36),0.91(33/36)
147.0,结肠良性肿瘤,0.72(13/18),0.83(15/18),0.83(15/18)
148.0,结节病,0.2(1/5),0.2(1/5),0.4(2/5)
150.0,肛瘘,1.0(19/19),1.0(19/19),1.0(19/19)
151.0,肝性脑病,0.0(0/1),0.0(0/1),0.0(0/1)
152.0,肝恶性肿瘤,0.55(5/9),0.55(5/9),0.55(5/9)
153.0,肝豆状核变性,1.0(1/1),1.0(1/1),1.0(1/1)
154.0,肠梗阻,0.33(3/9),0.44(4/9),0.55(5/9)
155.0,股骨颈骨折,0.82(33/40),0.9(36/40),0.95(38/40)
156.0,肥厚性心肌病,0.0(0/1),0.0(0/1),0.0(0/1)
158.0,肩袖损伤,0.92(37/40),0.97(39/40),0.97(39/40)
160.0,肺动脉高压,0.6(3/5),0.6(3/5),0.6(3/5)
161.0,肺原位癌,0.0(0/2),0.0(0/2),0.5(1/2)
162.0,肺恶性肿瘤,0.81(77/95),0.91(87/95),0.93(89/95)
163.0,肺曲霉菌病,0.0(0/5),0.0(0/5),0.0(0/5)
164.0,肺栓塞,0.72(13/18),0.77(14/18),0.83(15/18)
165.0,肺泡蛋白沉着症,0.0(0/2),0.0(0/2),0.0(0/2)
168.0,肺炎,0.97(205/211),0.99(209/211),1.0(211/211)
169.0,肺结核,0.53(14/26),0.69(18/26),0.76(20/26)
171.0,肺脓肿,0.14(1/7),0.14(1/7),0.14(1/7)
172.0,肺良性肿瘤,0.0(0/5),0.2(1/5),0.4(2/5)
173.0,肺血管炎,0.0(0/1),0.0(0/1),0.0(0/1)
175.0,肺部感染,0.21(8/38),0.44(17/38),0.68(26/38)
176.0,肺间质纤维化,0.0(0/5),0.2(1/5),0.2(1/5)
177.0,肺隐球菌病,0.0(0/1),0.0(0/1),0.0(0/1)
179.0,肾动脉狭窄,0.42(3/7),0.57(4/7),0.57(4/7)
180.0,肾小球肾炎,0.78(11/14),0.85(12/14),1.0(14/14)
181.0,肾恶性肿瘤,0.56(13/23),0.78(18/23),0.86(20/23)
184.0,肾病综合征,1.0(16/16),1.0(16/16),1.0(16/16)
185.0,肾盂肾炎,0.0(0/1),1.0(1/1),1.0(1/1)
186.0,肾积水,0.08(1/12),0.08(1/12),0.25(3/12)
187.0,肾结核,0.0(0/1),0.0(0/1),0.0(0/1)
188.0,肾结石,0.5(11/22),0.59(13/22),0.68(15/22)
189.0,胃息肉,0.81(13/16),0.81(13/16),0.87(14/16)
190.0,胃恶性肿瘤,0.12(1/8),0.12(1/8),0.25(2/8)
193.0,胃炎,0.45(9/20),0.65(13/20),0.65(13/20)
194.0,胃肠功能紊乱,0.0(0/2),0.0(0/2),0.0(0/2)
195.0,胃肠炎,0.0(0/1),0.0(0/1),0.0(0/1)
196.0,胃食管反流,0.25(2/8),0.25(2/8),0.5(4/8)
197.0,胆囊息肉,0.83(15/18),0.88(16/18),0.94(17/18)
198.0,胆石症,0.94(130/138),0.95(132/138),0.99(137/138)
200.0,胆道感染,0.1(1/10),0.3(3/10),0.4(4/10)
201.0,胰腺恶性肿瘤,0.4(4/10),0.5(5/10),0.5(5/10)
202.0,胸腔积液,0.18(2/11),0.45(5/11),0.63(7/11)
204.0,胸膜炎,0.0(0/1),0.0(0/1),0.0(0/1)
205.0,胸膜病变,0.0(0/1),0.0(0/1),0.0(0/1)
206.0,脂肪肝,0.0(0/1),0.0(0/1),0.0(0/1)
207.0,脑动脉供血不足,0.4(8/20),0.7(14/20),0.8(16/20)
208.0,脑动脉炎,0.0(0/2),0.0(0/2),0.0(0/2)
209.0,脑动脉粥样硬化,0.0(0/1),0.0(0/1),0.0(0/1)
211.0,脑卒中,0.94(197/209),0.98(205/209),1.0(209/209)
217.0,脾脏损伤,1.0(1/1),1.0(1/1),1.0(1/1)
218.0,腰椎管狭窄,0.96(173/180),0.98(177/180),0.98(177/180)
219.0,腰椎间盘突出,0.86(68/79),0.89(71/79),0.94(75/79)
220.0,腹内疝,0.0(0/2),0.0(0/2),0.0(0/2)
221.0,腹外疝,0.97(92/94),0.97(92/94),1.0(94/94)
224.0,腹部恶性肿瘤,0.5(8/16),0.5(8/16),0.56(9/16)
225.0,腹部良性肿瘤,0.64(42/65),0.76(50/65),0.86(56/65)
226.0,腺垂体功能减退症,0.0(0/1),0.0(0/1),0.0(0/1)
227.0,膀胱恶性肿瘤,0.41(7/17),0.58(10/17),0.76(13/17)
228.0,膀胱炎,0.0(0/1),0.0(0/1),0.0(0/1)
229.0,膀胱结石,0.83(5/6),1.0(6/6),1.0(6/6)
231.0,膝关节前十字韧带完全断裂,0.93(42/45),0.97(44/45),0.97(44/45)
232.0,膝关节半月板损伤,0.93(93/99),0.94(94/99),0.97(97/99)
233.0,膝关节病,0.95(83/87),0.97(85/87),0.97(85/87)
235.0,良性阵发性位置性眩晕,0.33(1/3),0.33(1/3),0.66(2/3)
236.0,血小板减少,0.0(0/1),0.0(0/1),0.0(0/1)
238.0,血管炎,0.0(0/4),0.0(0/4),0.0(0/4)
239.0,血管迷走性晕厥,0.0(0/2),0.0(0/2),0.5(1/2)
240.0,视神经脊髓炎,0.0(0/2),0.0(0/2),0.0(0/2)
241.0,视网膜脱离,0.97(37/38),1.0(38/38),1.0(38/38)
242.0,贫血,0.0(0/3),0.0(0/3),0.0(0/3)
243.0,跟腱断裂,0.94(18/19),0.94(18/19),1.0(19/19)
244.0,输卵管积水,0.96(29/30),0.96(29/30),0.96(29/30)
245.0,输尿管狭窄,0.33(2/6),0.33(2/6),0.33(2/6)
246.0,输尿管结石,0.42(9/21),0.57(12/21),0.66(14/21)
247.0,过敏性紫癜,0.0(0/1),0.0(0/1),0.0(0/1)
248.0,过敏性肺炎,0.0(0/3),0.0(0/3),0.0(0/3)
251.0,重叠综合征,0.0(0/1),0.0(0/1),0.0(0/1)
252.0,重症肌无力,0.5(1/2),0.5(1/2),0.5(1/2)
253.0,间质性肺病,0.26(4/15),0.46(7/15),0.66(10/15)
254.0,阑尾炎,0.94(37/39),0.94(37/39),0.97(38/39)
255.0,阻塞性肺气肿,0.0(0/1),0.0(0/1),0.0(0/1)
258.0,陈旧性膝前十字韧带断裂,0.99(104/105),1.0(105/105),1.0(105/105)
259.0,隐球菌脑膜炎,0.0(0/1),0.0(0/1),0.0(0/1)
260.0,霍奇金淋巴瘤,0.0(0/1),0.0(0/1),0.0(0/1)
261.0,静脉血栓症,0.0(0/1),0.0(0/1),0.0(0/1)
262.0,非霍奇金淋巴瘤,0.0(0/2),0.0(0/2),0.5(1/2)
263.0,鞘膜积液,0.5(3/6),0.66(4/6),0.83(5/6)
264.0,颅内动脉瘤,0.33(1/3),0.33(1/3),0.33(1/3)
265.0,颅内损伤,0.0(0/1),0.0(0/1),0.0(0/1)
267.0,颈动脉狭窄,0.57(8/14),0.78(11/14),0.78(11/14)
269.0,颈椎病,0.96(237/245),0.98(242/245),0.98(242/245)
270.0,颈部血管瘤,0.0(0/1),0.0(0/1),0.0(0/1)
271.0,风湿性二尖瓣狭窄伴关闭不全,0.0(0/1),0.0(0/1),0.0(0/1)
274.0,食管恶性肿瘤,0.44(4/9),0.44(4/9),0.55(5/9)
275.0,食管良性肿瘤,0.0(0/4),0.0(0/4),0.0(0/4)
277.0,骨关节病,0.0(0/1),0.0(0/1),0.0(0/1)
278.0,骨质疏松,0.0(0/1),0.0(0/1),0.0(0/1)
279.0,骨髓增生异常综合征,0.0(0/1),0.0(0/1),0.0(0/1)
281.0,高脂血症,0.0(0/3),0.0(0/3),0.0(0/3)
282.0,高血压,0.73(52/71),0.84(60/71),0.87(62/71)
284.0,鼻窦炎,0.80(17/21),0.85(18/21),0.85(18/21)
285.0,鼻窦瘘,0.93(15/16),0.93(15/16),0.93(15/16)
