标签,疾病名字,top10
269,颈椎病,颈椎病 腰椎管狭窄 胆石症 阑尾炎 胆囊息肉 多发性骨髓瘤 妊娠期糖尿病 陈旧性膝前十字韧带断裂 膝关节病 肺恶性肿瘤
5,主动脉夹层,冠状动脉粥样硬化性心脏病 心力衰竭 腹部恶性肿瘤 胆石症 气胸 肾恶性肿瘤 慢性肾功能不全 主动脉瓣狭窄 肺炎 急性肾衰竭
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 慢性肾功能不全 心律失常 胆石症 肾小球肾炎 肾结石 卵巢良性肿瘤 肺良性肿瘤 前列腺恶性肿瘤 肺炎
211,脑卒中,脑卒中 冠状动脉粥样硬化性心脏病 高血压 腰椎间盘突出 肺炎 间质性肺病 短暂性脑缺血发作 胃息肉 肺恶性肿瘤 颈椎病
244,输卵管积水,输卵管积水 子宫内膜息肉 子宫颈上皮内瘤变 腹部良性肿瘤 膝关节病 鼻窦瘘 胆石症 肺结核 子宫平滑肌瘤 糖尿病
269,颈椎病,颈椎病 腰椎管狭窄 肾恶性肿瘤 冠状动脉粥样硬化性心脏病 腰椎间盘突出 跟腱断裂 睡眠呼吸暂停低通气综合征 IgA肾病 胃潴留 胃淋巴瘤
10,乳腺良性肿瘤,乳腺良性肿瘤 子宫内膜息肉 乳腺恶性肿瘤 心律失常 糖尿病 前列腺增生 膝关节病 睡眠呼吸暂停低通气综合征 卵巢良性肿瘤 精索静脉曲张
211,脑卒中,脑卒中 冠状动脉粥样硬化性心脏病 脑动脉供血不足 心律失常 肺炎 高血压 前列腺增生 肺恶性肿瘤 心力衰竭 肺部感染
150,肛瘘,肛瘘 混合痔 新生儿高胆红素血症 睾丸扭转 跟腱断裂 白内障 鞘膜积液 胆石症 肾结石 阑尾炎
125,白内障,白内障 胃肠炎 胃肠功能紊乱 胃炎 胃潴留 胃淋巴瘤 胃恶性肿瘤 胃食管反流 IgA肾病 肾结核
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 颈椎病 高血压 胆石症 腰椎管狭窄 肾恶性肿瘤 腰椎间盘突出 呼吸衰竭 肺部感染 皮层下动脉硬化性脑病
108,炎性肌病,冠状动脉粥样硬化性心脏病 脑卒中 肺炎 糖尿病 颈椎病 慢性肾功能不全 呼吸衰竭 胆石症 心力衰竭 前列腺增生
91,支气管炎,肺炎 细支气管炎 新生儿高胆红素血症 肾结石 肺部感染 血管炎 肺结核 病毒性脑膜炎 支气管炎 过敏性紫癜
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 高血压 颈椎病 脑卒中 胆石症 心律失常 结肠息肉 膝关节病 胆囊息肉 肺恶性肿瘤
90,支气管扩张症,慢性阻塞性肺疾病 肺炎 支气管扩张症 肺恶性肿瘤 支气管哮喘 子宫平滑肌瘤 冠状动脉粥样硬化性心脏病 支气管炎 胆石症 前列腺恶性肿瘤
247,过敏性紫癜,乳腺良性肿瘤 胆石症 甲状腺恶性肿瘤 甲状腺肿 膝关节半月板损伤 糖尿病 脑卒中 腹部良性肿瘤 胆囊息肉 膝关节前十字韧带完全断裂
