标签,疾病名字,top1,top3,top5,top8,top10,该类别实际样本数,该类别训练采样数
0.0,IgA肾病,0.77(57/74),0.87(65/74),0.89(66/74),0.94(70/74),0.94(70/74)
1.0,三尖瓣关闭不全,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
2.0,上消化道出血,0.28(16/57),0.78(45/57),0.91(52/57),0.92(53/57),0.92(53/57)
3.0,下消化道出血,0.36(8/22),0.77(17/22),0.81(18/22),0.81(18/22),0.81(18/22)
4.0,下肢静脉曲张,0.91(283/310),0.95(296/310),0.96(299/310),0.97(301/310),0.97(301/310)
5.0,主动脉夹层,0.27(10/36),0.44(16/36),0.55(20/36),0.61(22/36),0.69(25/36)
6.0,主动脉瓣关闭不全,0.07(1/13),0.23(3/13),0.61(8/13),0.76(10/13),0.84(11/13)
7.0,主动脉瓣狭窄,0.14(2/14),0.28(4/14),0.5(7/14),0.57(8/14),0.71(10/14)
8.0,主动脉瓣狭窄伴关闭不全,0.0(0/5),0.0(0/5),0.0(0/5),0.0(0/5),0.0(0/5)
9.0,乳腺恶性肿瘤,0.31(28/89),0.79(71/89),0.85(76/89),0.93(83/89),0.93(83/89)
10.0,乳腺良性肿瘤,0.68(346/506),0.89(453/506),0.93(474/506),0.96(490/506),0.97(495/506)
11.0,二尖瓣关闭不全,0.17(3/17),0.41(7/17),0.47(8/17),0.52(9/17),0.58(10/17)
12.0,二尖瓣狭窄,0.33(3/9),0.55(5/9),0.66(6/9),0.77(7/9),0.77(7/9)
13.0,二尖瓣脱垂,0.07(1/13),0.30(4/13),0.53(7/13),0.84(11/13),0.84(11/13)
14.0,二尖瓣腱索断裂,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
15.0,低血压,0.5(11/22),0.77(17/22),0.77(17/22),0.77(17/22),0.77(17/22)
16.0,低血氧症,0.0(0/3),0.0(0/3),0.0(0/3),0.0(0/3),0.0(0/3)
17.0,低血糖症,0.1(1/10),0.3(3/10),0.3(3/10),0.3(3/10),0.4(4/10)
18.0,低钠血症,0.6(3/5),0.6(3/5),0.6(3/5),0.6(3/5),0.6(3/5)
19.0,低钾血症,0.33(4/12),0.58(7/12),0.75(9/12),0.75(9/12),0.75(9/12)
20.0,低颅压性头痛,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
21.0,偏头痛,0.0(0/4),0.25(1/4),0.25(1/4),0.25(1/4),0.25(1/4)
22.0,冠状动脉狭窄,0.20(22/108),0.65(71/108),0.74(80/108),0.85(92/108),0.87(94/108)
23.0,冠状动脉瘘,0.0(0/5),0.0(0/5),0.0(0/5),0.0(0/5),0.0(0/5)
24.0,冠状动脉粥样硬化性心脏病,0.69(4041/5826),0.86(5026/5826),0.91(5309/5826),0.94(5491/5826),0.95(5556/5826)
25.0,前列腺增生,0.67(340/501),0.83(416/501),0.88(445/501),0.93(469/501),0.94(472/501)
26.0,前列腺恶性肿瘤,0.47(123/258),0.74(193/258),0.85(220/258),0.90(234/258),0.92(238/258)
27.0,前列腺炎,0.0(0/8),0.5(4/8),0.5(4/8),0.62(5/8),0.62(5/8)
28.0,动脉导管未闭,0.2(2/10),0.5(5/10),0.5(5/10),0.6(6/10),0.6(6/10)
30.0,卵巢良性肿瘤,0.55(279/507),0.85(433/507),0.91(464/507),0.94(480/507),0.95(484/507)
31.0,原发性血小板增多症,0.33(1/3),0.66(2/3),0.66(2/3),0.66(2/3),0.66(2/3)
32.0,原发性醛固酮增多症,0.66(14/21),0.80(17/21),0.80(17/21),0.80(17/21),0.80(17/21)
33.0,反射性晕厥,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
34.0,变应性肉芽肿性脉管炎,0.0(0/6),0.0(0/6),0.0(0/6),0.0(0/6),0.0(0/6)
35.0,右心心肌病,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
36.0,吉兰-巴雷综合征,0.0(0/4),0.0(0/4),0.0(0/4),0.25(1/4),0.5(2/4)
37.0,周期性瘫痪,0.0(0/1),1.0(1/1),1.0(1/1),1.0(1/1),1.0(1/1)
38.0,呼吸衰竭,0.60(151/248),0.77(193/248),0.83(207/248),0.88(219/248),0.91(227/248)
39.0,喉恶性肿瘤,0.81(18/22),0.81(18/22),0.86(19/22),0.90(20/22),0.90(20/22)
40.0,嗜酸粒细胞增多综合征,0.45(5/11),0.45(5/11),0.72(8/11),0.81(9/11),0.81(9/11)
41.0,多发性末梢神经炎,0.0(0/6),0.0(0/6),0.0(0/6),0.0(0/6),0.16(1/6)
42.0,多发性硬化,0.64(9/14),0.92(13/14),0.92(13/14),0.92(13/14),0.92(13/14)
43.0,多发性骨髓瘤,0.73(75/102),0.85(87/102),0.86(88/102),0.88(90/102),0.89(91/102)
44.0,大隐静脉曲张,0.82(539/657),0.88(581/657),0.89(588/657),0.91(598/657),0.91(603/657)
