标签,疾病名字,top10
269,颈椎病,颈椎病 食管恶性肿瘤 霍奇金淋巴瘤 贫血 直肠息肉 房间隔缺损 血小板减少 非霍奇金淋巴瘤 肺良性肿瘤 骨髓增生异常综合征
5,主动脉夹层,肾恶性肿瘤 主动脉瓣关闭不全 腹内疝 气胸 冠状动脉粥样硬化性心脏病 主动脉瓣狭窄 腹部恶性肿瘤 心肌炎 胃恶性肿瘤 房间隔缺损
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 慢性肾功能不全 心律失常 肾动脉狭窄 肾盂肾炎 心包积液 急性肾衰竭 冠状动脉狭窄 高血压 多发性骨髓瘤
211,脑卒中,低血压 帕金森病 非霍奇金淋巴瘤 颈动脉狭窄 骨关节病 多发性骨髓瘤 食管良性肿瘤 脑卒中 贫血 痛风
244,输卵管积水,输卵管积水 子宫内膜息肉 子宫颈上皮内瘤变 房间隔缺损 抗磷脂综合征 卵巢良性肿瘤 膝关节半月板损伤 食管良性肿瘤 乳腺良性肿瘤 颈动脉硬化
269,颈椎病,颈椎病 小肠良性肿瘤 腰椎管狭窄 重症肌无力 贫血 食管恶性肿瘤 胃恶性肿瘤 腹部恶性肿瘤 多发性硬化 呼吸衰竭
10,乳腺良性肿瘤,乳腺良性肿瘤 乳腺恶性肿瘤 过敏性肺炎 颈部血管瘤 子宫内膜息肉 肺肉芽肿 肺良性肿瘤 腹内疝 糖耐量异常 血管迷走性晕厥
211,脑卒中,低血压 脑动脉供血不足 脑卒中 肺部感染 贫血 支气管炎 消化性溃疡 静脉血栓症 胃炎 冠状动脉粥样硬化性心脏病
150,肛瘘,肛瘘 腹部开放性损伤 前列腺炎 跟腱断裂 睾丸扭转 胃炎 精索静脉曲张 混合痔 输尿管结石 尿潴留
125,白内障,白内障 尿潴留 腹部开放性损伤 尿道损伤 多发性硬化 帕金森病 前列腺炎 喉恶性肿瘤 食管良性肿瘤 颈部血管瘤
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 房间隔缺损 室间隔缺损 心力衰竭 主动脉瓣关闭不全 风湿性二尖瓣狭窄伴关闭不全 二尖瓣脱垂 烟雾病 食管恶性肿瘤 低血压
108,炎性肌病,炎症后肺间质纤维化 贫血 尿潴留 急性肾衰竭 肾积水 输尿管狭窄 下消化道出血 心力衰竭 股骨颈骨折 慢性肾功能不全
91,支气管炎,细支气管炎 肺炎 支气管炎 病毒性脑膜炎 肺结核 结节病 小肠良性肿瘤 支气管狭窄 支气管哮喘 溃疡性结肠炎
