标签,疾病名字,top3,top5,top8,top10,备注：该类别训练样本数
0.0,,0.79(19/24),0.79(19/24),0.79(19/24),0.79(19/24),4
1.0,1型糖尿病,1.0(22/22),1.0(22/22),1.0(22/22),1.0(22/22),29
2.0,1型糖尿病伴血糖控制不佳,0.33(10/30),0.6(18/30),0.73(22/30),0.73(22/30),30
3.0,1型糖尿病性乳酸性酸中毒并昏迷,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),2
4.0,1型糖尿病性周围神经病,1.0(21/21),1.0(21/21),1.0(21/21),1.0(21/21),6
5.0,1型糖尿病性肾病,0.72(21/29),0.72(21/29),0.72(21/29),0.72(21/29),3
6.0,1型糖尿病性胰岛素相关性神经炎,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),3
7.0,1型糖尿病性视网膜病变,0.53(15/28),0.89(25/28),0.89(25/28),0.89(25/28),7
8.0,1型糖尿病性酮症,0.82(23/28),0.89(25/28),0.89(25/28),0.89(25/28),17
9.0,1型糖尿病性酮症酸中毒,0.79(23/29),0.79(23/29),0.79(23/29),0.86(25/29),18
10.0,1型糖尿病性酮症酸中毒并昏迷,1.0(41/41),1.0(41/41),1.0(41/41),1.0(41/41),1
11.0,1型糖尿病肾病V期,1.0(30/30),1.0(30/30),1.0(30/30),1.0(30/30),3
12.0,2型糖尿病,0.03(1/27),0.22(6/27),0.55(15/27),0.55(15/27),2551
13.0,2型糖尿病伴神经系统并发症,1.0(36/36),1.0(36/36),1.0(36/36),1.0(36/36),1
14.0,2型糖尿病伴血糖控制不佳,0.03(1/30),0.03(1/30),0.1(3/30),0.16(5/30),2294
15.0,2型糖尿病性下肢感染,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
16.0,2型糖尿病性下肢溃疡,1.0(19/19),1.0(19/19),1.0(19/19),1.0(19/19),3
17.0,2型糖尿病性低血糖昏迷,1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),1
18.0,2型糖尿病性低血糖症,0.05(2/37),0.05(2/37),0.08(3/37),0.16(6/37),24
19.0,2型糖尿病性前期可逆的肾病,0.58(18/31),0.58(18/31),0.58(18/31),0.58(18/31),6
20.0,2型糖尿病性前期肾小球肾病,0.25(7/27),0.37(10/27),0.44(12/27),0.48(13/27),32
21.0,2型糖尿病性前期肾病,0.5(13/26),0.5(13/26),0.5(13/26),0.5(13/26),10
22.0,2型糖尿病性动眼神经麻痹,0.56(17/30),0.56(17/30),0.56(17/30),0.83(25/30),7
23.0,2型糖尿病性周围神经病,0.11(3/26),0.26(7/26),0.57(15/26),0.57(15/26),537
24.0,2型糖尿病性周围血管病,0.68(17/25),0.68(17/25),0.84(21/25),0.92(23/25),15
25.0,2型糖尿病性周围血管病及坏疽,1.0(22/22),1.0(22/22),1.0(22/22),1.0(22/22),8
26.0,2型糖尿病性坏疽,0.78(18/23),0.78(18/23),0.78(18/23),0.78(18/23),7
27.0,2型糖尿病性增殖性出血性视网膜病,0.42(15/35),0.8(28/35),0.8(28/35),0.8(28/35),5
28.0,2型糖尿病性增殖性前期出血性视网膜病,0.5(15/30),0.5(15/30),0.5(15/30),0.5(15/30),2
29.0,2型糖尿病性增殖性前期局部缺血性视网膜病,0.0(0/29),0.0(0/29),0.0(0/29),0.0(0/29),1
30.0,2型糖尿病性增殖性前期视网膜病,0.8(24/30),0.8(24/30),0.8(24/30),0.8(24/30),3
31.0,2型糖尿病性增殖性新生血管化性视网膜病,0.0(0/26),1.0(26/26),1.0(26/26),1.0(26/26),1
32.0,2型糖尿病性增殖性玻璃体出血性视网膜病,0.20(6/29),0.20(6/29),0.20(6/29),0.20(6/29),8
33.0,2型糖尿病性增殖性视网膜病,0.4(12/30),0.63(19/30),0.7(21/30),0.7(21/30),11
34.0,2型糖尿病性外展神经麻痹,1.0(35/35),1.0(35/35),1.0(35/35),1.0(35/35),1
35.0,2型糖尿病性多发性神经病,1.0(21/21),1.0(21/21),1.0(21/21),1.0(21/21),5
36.0,2型糖尿病性大疱症,0.0(0/33),0.0(0/33),1.0(33/33),1.0(33/33),1
37.0,2型糖尿病性大量白蛋白尿,1.0(30/30),1.0(30/30),1.0(30/30),1.0(30/30),2
38.0,2型糖尿病性持续蛋白尿,1.0(39/39),1.0(39/39),1.0(39/39),1.0(39/39),1
39.0,2型糖尿病性斑点性视网膜病,1.0(20/20),1.0(20/20),1.0(20/20),1.0(20/20),1
40.0,2型糖尿病性新生血管性青光眼,0.0(0/32),0.0(0/32),0.0(0/32),0.0(0/32),1
41.0,2型糖尿病性牙周炎,1.0(22/22),1.0(22/22),1.0(22/22),1.0(22/22),1
42.0,2型糖尿病性白内障,0.25(9/35),0.25(9/35),0.25(9/35),0.25(9/35),5
43.0,2型糖尿病性眼肌麻痹,1.0(20/20),1.0(20/20),1.0(20/20),1.0(20/20),5
44.0,2型糖尿病性糖尿病脂性渐进性坏死,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
45.0,2型糖尿病性终末期肾脏疾患肾病[ESRD],1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
46.0,2型糖尿病性结节性肾小球硬化症,0.60(20/33),1.0(33/33),1.0(33/33),1.0(33/33),2
47.0,2型糖尿病性肾小球硬化症,1.0(22/22),1.0(22/22),1.0(22/22),1.0(22/22),2
48.0,2型糖尿病性肾病,0.02(1/34),0.05(2/34),0.11(4/34),0.11(4/34),93
49.0,2型糖尿病性背景性出血性视网膜病,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
50.0,2型糖尿病性背景性硬性渗出物性视网膜病,1.0(22/22),1.0(22/22),1.0(22/22),1.0(22/22),3
51.0,2型糖尿病性背景性视网膜病,0.51(15/29),0.58(17/29),0.58(17/29),0.58(17/29),10
52.0,2型糖尿病性胰岛素相关性神经炎,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
53.0,2型糖尿病性脑神经麻痹,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),1
54.0,2型糖尿病性膀胱张力减弱,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
55.0,2型糖尿病性视网膜增厚性视网膜病,1.0(34/34),1.0(34/34),1.0(34/34),1.0(34/34),1
56.0,2型糖尿病性视网膜病变,0.03(1/27),0.07(2/27),0.37(10/27),0.44(12/27),387
57.0,2型糖尿病性足坏疽,0.0(0/36),0.0(0/36),0.02(1/36),0.02(1/36),42
58.0,2型糖尿病性足溃疡和周围神经病,0.0(0/38),0.0(0/38),0.52(20/38),0.52(20/38),2
59.0,2型糖尿病性足溃疡和周围血管病,0.72(18/25),0.72(18/25),0.72(18/25),0.72(18/25),4
60.0,2型糖尿病性远端对称性周围神经病,0.83(25/30),1.0(30/30),1.0(30/30),1.0(30/30),4
61.0,2型糖尿病性酮症,0.0(0/34),0.0(0/34),0.0(0/34),0.0(0/34),351
62.0,2型糖尿病性酮症酸中毒,0.42(11/26),0.65(17/26),0.69(18/26),0.73(19/26),86
63.0,2型糖尿病性酮症酸中毒和乳酸性酸中毒并昏迷,1.0(45/45),1.0(45/45),1.0(45/45),1.0(45/45),1
64.0,2型糖尿病性酮症酸中毒并昏迷,1.0(16/16),1.0(16/16),1.0(16/16),1.0(16/16),3
65.0,2型糖尿病性高渗性高血糖状态昏迷,1.0(30/30),1.0(30/30),1.0(30/30),1.0(30/30),1
66.0,2型糖尿病性高血压,0.29(9/31),0.29(9/31),0.32(10/31),0.32(10/31),34
67.0,2型糖尿病性高血糖状态昏迷,1.0(21/21),1.0(21/21),1.0(21/21),1.0(21/21),3
68.0,2型糖尿病肾病III期,0.21(7/33),0.21(7/33),0.27(9/33),0.27(9/33),22
69.0,2型糖尿病肾病II期,0.85(17/20),0.95(19/20),1.0(20/20),1.0(20/20),11
70.0,2型糖尿病肾病IV期,0.25(7/27),0.44(12/27),0.55(15/27),0.55(15/27),25
71.0,2型糖尿病肾病I期,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
72.0,2型糖尿病肾病V期,0.70(22/31),0.70(22/31),0.70(22/31),0.70(22/31),9
73.0,2型糖尿病足,0.79(19/24),0.79(19/24),0.79(19/24),0.79(19/24),8
